genes,stability
ADPRHL1,0.5760836298753175
ADPRHL2,0.1604830254691201
ADPRM,-0.04522157784070503
ADRA1A,0.16860172185135547
ADRA1B,0.5725587538147392
ADRA1D,0.6216019348724269
ADRA2A,0.29732061444209523
ADRA2B,0.01769754628882926
ADRA2C,0.5029435216018991
ADRB1,0.47282691733224225
ADRB2,0.5132068092581459
ADRB3,0.02740473562456942
ADRM1,-0.027611293516716
ADSL,0.1092755197753835
ADSS,0.10861116536562129
ADSSL1,0.38060375936342744
ADTRP,0.5805550668836552
AEBP1,0.36172647757848714
AEBP2,0.3256971545264818
AEN,0.08133238008614359
AES,-0.08293933689101325
AFAP1,0.07150404024223869
AFAP1-AS1,0.23110145592991024
AFAP1L1,0.4031087315655235
AFAP1L2,0.44145564639122997
AFDN,-0.002723136182379767
AFDN-DT,0.2649755461103321
AFF1,0.2796901548080577
AFF2,0.3703802606773532
AFF3,0.1763335379760555
AFF4,0.09881353152768148
AFG1L,0.16480519425014906
AFG3L1P,0.14953663697972264
AFG3L2,0.05759961516550441
AFM,-0.006962464316181099
AFMID,0.11919160309228867
AFP,0.0865590404603227
AFTPH,0.26651621167330397
AGA,0.3253474499171871
AGAP1,0.2548623122330706
AGAP11,0.2082606251366687
AGAP2,0.0933052286639227
AGAP2-AS1,-0.007542086755923846
AGAP3,0.2997987969242407
AGAP5,0.11554906021840007
AGBL1,0.049851815945196415
AGBL2,0.06878501438644426
AGBL3,0.14085581145427956
AGBL4,0.14422962027049208
AGBL5,0.12827086774462015
AGER,0.09949993703785504
AGFG1,0.043239344763109804
AGFG2,0.03451413851361853
AGGF1,0.10082750389258413
AGK,0.09274660823636821
AGL,0.1396452567972949
AGMAT,0.4008375357947514
AGMO,0.00543235827517623
AGO1,0.7099722165174646
AGO2,-0.07752658765610194
AGO3,0.09040912154135383
AGO4,-0.008307453117574574
AGPAT1,0.14734319695192594
AGPAT2,0.39492965286353915
AGPAT3,0.25988407623719983
AGPAT4,0.16523829418103547
AGPAT4-IT1,0.03725645758190015
AGPAT5,0.232407448824875
AGPS,-0.06525072640775187
AGR2,0.11426927539898671
AGR3,-0.04365599030183737
AGRN,0.12083626855247352
AGRP,0.07506931861566865
AGT,0.15909099796394496
AGTPBP1,0.24725212558405135
AGTR1,0.1673082723438335
AGTR2,0.07276843444365035
AGTRAP,0.17083807505427095
AGXT,0.1494012871353426
AGXT2,0.04992633757653578
AHCTF1,0.008871372908028637
AHCY,0.16491386490793708
AHCYL1,0.13238672780995514
AHCYL2,0.1145004847876317
AHDC1,0.027617124185727364
AHI1,0.4011851707867761
AHNAK,0.22551345920134683
AHNAK2,0.34952983676572574
AHR,0.17547697143202168
AHRR,0.5650056371968181
AHSA1,0.0699558097226193
AHSA2P,0.036486441364918645
AHSG,0.3608880795179759
AHSP,0.028112329057512892
AICDA,0.11996277657912129
AIDA,0.0002990306475366969
AIF1,0.476594845075005
AIF1L,0.17706735455176176
AIFM1,0.09483274879265244
AIFM2,0.3204292484038839
AIFM3,0.45347694008182077
AIG1,0.12547873805129342
AIM2,0.3143435863417817
AIMP1,0.02071346568328617
AIMP2,0.11172465068921932
AIP,0.03808336158519847
AIPL1,0.07188415350616162
AIRE,0.6374754841339055
AJAP1,0.2633286804085405
AJM1,-0.08566414917233497
AJUBA,0.055346408424140625
AK1,0.2526332129151604
AK2,0.2975805151229745
AK3,0.060766766060791316
AK4,0.5114642708637481
AK5,0.24527247148922343
AK6,0.07088255199697754
AK7,0.23574821125051448
AK8,0.22389785154319755
AK9,0.1006021410082275
AKAIN1,0.24959781252664812
AKAP1,0.27025921977093204
AKAP10,0.04715828652244472
AKAP11,0.1704524756108289
AKAP12,0.48681594266976175
AKAP13,0.3781317213624696
AKAP14,0.6609787179954586
AKAP17A,0.10848816111714774
AKAP3,0.06435025881876717
AKAP4,0.09643049346107738
AKAP5,0.3004638388165841
AKAP6,0.30085313472821085
AKAP7,0.2772586419379384
AKAP8,0.5656523578769589
AKAP8L,-0.0365828962333034
AKAP9,-0.09012301250296711
AKIP1,0.18229248490101627
AKIRIN1,0.09934212318596973
AKIRIN2,0.17129547250933114
AKNA,0.031096284932189504
AKNAD1,-0.005027525229214601
AKR1A1,0.03301216306485412
AKR1B1,0.07647148682811601
AKR1B10,0.034209964780310576
AKR1B15,0.1715948369727724
AKR1C1,0.41159937572654653
AKR1C2,0.05886253165252454
AKR1C3,0.5546659645477015
AKR1C4,0.42693511456333305
AKR1C6P,0.07185138440938102
AKR1C8P,0.0710692707860261
AKR1D1,0.032885196707032036
AKR1E2,0.007632101494825059
AKR7A2,0.5876852130628074
AKR7A2P1,0.2340608560085758
AKR7A3,0.49995292245541234
AKR7L,0.5833149671500237
AKT1,-0.04426958330884061
AKT1S1,0.21664403653850783
AKT2,-0.03267136765691489
AKT3,0.015850672002034508
AKTIP,0.197525405419519
ALAD,0.01473981057760036
ALAS1,0.09964397579980354
ALAS2,0.06279639806601263
ALB,0.10007486689127705
ALCAM,0.2948182626701245
ALDH16A1,-0.0018325337668368598
ALDH18A1,0.0030145939656003743
ALDH1A1,0.0890095289175104
ALDH1A2,0.18439851309761893
ALDH1A3,0.7241843097393995
ALDH1B1,0.39398686450674947
ALDH1L1,0.3378984668309296
ALDH1L1-AS2,0.0917420723601398
ALDH1L2,0.014371115220254966
