,genes,stability
67,ABCD2,0.24436710143918336
68,ABCD3,0.3562245516969975
69,ABCD4,0.06732320078582349
70,ABCE1,0.03529643267048976
71,ABCF1,0.4619630242930916
72,ABCF2,0.5042507079322671
73,ABCF3,0.23799549702404915
74,ABCG1,0.09194509128630077
75,ABCG2,0.43821290120167083
76,ABCG4,0.04813903691894958
77,ABCG5,0.6261076682416665
78,ABCG8,0.07946051225508606
79,ABHD1,0.15475706954493829
80,ABHD10,0.1450763452428472
81,ABHD11,0.26217729452856736
82,ABHD12,0.49343616419708436
83,ABHD12B,0.6593078101219504
84,ABHD13,0.2746367675768954
85,ABHD14A,0.19655271088097334
86,ABHD14B,0.04198848483315037
87,ABHD15,0.23548528970209134
88,ABHD16A,0.27348110852244617
89,ABHD16B,0.19520149018286498
90,ABHD17A,0.4981058880736357
91,ABHD17B,0.20650197072230328
92,ABHD17C,0.28408031393220073
93,ABHD18,0.05764043418068751
94,ABHD2,0.47351536889503887
95,ABHD3,0.5695728138495892
96,ABHD4,0.5554036437775625
97,ABHD5,0.326516770643399
98,ABHD6,0.3663983855699579
99,ABHD8,0.5113177880645995
100,ABI1,0.4984959692970453
101,ABI2,0.41775644818091556
102,ABI3,0.021118537708431737
103,ABI3BP,0.43793918153606903
104,ABL1,0.2914169914081969
105,ABL2,0.0931073153624548
106,ABLIM1,0.06793786907963237
107,ABLIM2,0.6118223289261032
108,ABLIM3,0.2521791609951601
109,ABO,-0.035877489576884004
110,ABR,0.4422772701875988
111,ABRA,0.03942300002966332
112,ABRACL,0.5282921705168009
113,ABRAXAS1,0.09297880621048933
114,ABRAXAS2,0.30862787251349383
115,ABT1,0.2890309951478179
116,ABTB1,0.601855694875528
117,ABTB2,0.6719494135250306
118,ACAA1,0.2518156279344487
119,ACAA2,0.353546676625058
120,ACACA,0.39359866724235804
121,ACACB,0.12515904737574932
122,ACAD10,0.18331948044674334
123,ACAD11,0.1918920479865734
124,ACAD8,0.3324349713976898
125,ACAD9,0.28105380032531163
126,ACADL,0.5637927534638233
127,ACADM,0.13664126667244378
128,ACADS,0.21900596042677808
129,ACADSB,0.15864526371165544
130,ACADVL,0.29479323163150634
131,ACAN,0.6520404608386153
