,genes,stability
138,ACBD4,-0.011288886409019032
139,ACBD5,0.17415787902063334
140,ACBD6,0.27940679448577194
141,ACBD7,0.2747613962578822
142,ACCS,0.13659227987967665
143,ACCSL,0.01497994017321183
144,ACD,0.4441791082017293
145,ACE,0.3377008632275237
146,ACE2,0.2581743951233571
147,ACER1,0.08043574862867592
148,ACER2,0.07303176171297034
149,ACER3,0.25215319964138794
150,ACHE,0.5862574700832681
151,ACIN1,0.009387827423446907
152,ACKR1,0.2199945511732415
153,ACKR2,0.1948974583795206
154,ACKR3,0.45961811920273493
155,ACKR4,0.2735589896492138
156,ACLY,0.3986675769641658
157,ACMSD,0.05145541763631978
158,ACO1,0.46557506990908765
159,ACO2,0.2503986849372536
160,ACOT11,0.1524661046175307
161,ACOT12,0.3351970204120994
162,ACOT13,0.32554699903263323
163,ACOT2,0.5450903561594672
164,ACOT4,0.5306769348085477
165,ACOT6,0.009181298518530723
166,ACOT7,0.3102227818591924
167,ACOT8,0.5425873505858033
168,ACOT9,0.33924436273452835
169,ACOX1,0.32159308317194507
170,ACOX2,0.38650080056149777
171,ACOX3,0.43746145744801984
172,ACOXL,0.02404881010181193
173,ACP1,0.20071177556299377
174,ACP2,0.12515688022469104
175,ACP4,0.13195596920343278
176,ACP5,0.17744976657839723
177,ACP6,0.15644319171664522
178,ACP7,0.03524156575793758
179,ACPP,0.04514160354698175
180,ACR,0.3383016413102505
181,ACRBP,0.15869202334396892
182,ACRV1,0.11507832064441838
183,ACSBG1,0.4710118303010529
184,ACSBG2,0.2000835572552729
185,ACSF2,0.3834533326534968
186,ACSF3,0.27905170739743423
187,ACSL1,0.2912886377719913
188,ACSL3,0.4930598956510944
189,ACSL4,0.39164316166781815
190,ACSL5,0.18890265755920693
191,ACSL6,0.593232825828151
192,ACSM1,0.032002517221405145
193,ACSM2A,0.17191204896256768
194,ACSM2B,-0.017774104397175607
195,ACSM3,0.040831512241453684
196,ACSM4,0.03942340788246294
197,ACSM5,0.4359732588644668
198,ACSM6,0.026291746535729615
