genes,stability
ABHD4,0.1805813300700017
ABHD5,0.09839195419043618
ABHD6,0.3288814540030679
ABHD8,0.2804113427441978
ABI1,0.29513100677298465
ABI2,0.1862477619976822
ABI3,0.13516850006801576
ABI3BP,0.1532030633520408
ABL1,-0.013114603363855152
ABL2,-0.035539391418146146
ABLIM1,0.07319344169709957
ABLIM2,0.5915117673847843
ABLIM3,0.5901463447904641
ABO,-0.025785781253899794
ABR,0.25815076096246303
ABRA,-0.014274487295458885
ABT1,-0.012637195188675602
ABTB1,0.48033775048898325
ABTB2,0.5701108586845137
ACAA1,0.22966880358425476
ACAA2,0.3634396362906047
ACACA,0.10276575963620115
ACACB,-0.009717982223718188
ACAD10,0.13536436006348895
ACAD11,0.028536203323010982
ACAD8,-0.018755418477297246
ACAD9,0.05275287180686872
ACADL,0.46915509623790136
ACADM,0.10504046912605032
ACADS,0.26924174593900563
ACADSB,0.38243604640152873
ACADVL,0.013368709231027768
ACAN,0.8316250042957587
ACAP1,0.028618092513050423
ACAP2,-0.017313599735886778
ACAP3,0.1280927658100783
ACAT1,0.04775892315882676
ACAT2,0.3468441727090118
ACBD3,-0.0511464448540437
ACBD4,0.10777628172776978
ACBD5,0.07929111260851648
ACBD6,0.3063586344334803
ACBD7,0.2837495437303133
ACCS,0.14953512369165264
ACCSL,-0.01312434424117045
ACD,0.14191219205993474
ACE,0.254749697674693
ACE2,0.025698688143456803
ACER1,0.06431823108036809
ACER2,0.07398086641874473
ACER3,-0.003827457723252024
ACHE,0.35549095328976243
ACIN1,-0.011800606539927753
ACLY,0.056211461921669446
ACMSD,0.08066042906240616
ACO1,0.2539531127243038
ACO2,0.28413514128814776
ACOT11,-0.04260819634211561
ACOT12,0.44012205835109836
ACOT13,0.31816460465527147
ACOT2,0.44169383761588377
ACOT4,0.022152602864545828
ACOT6,-0.04355999536813104
ACOT7,0.07395759710939175
ACOT8,0.39430130943081776
ACOT9,-0.0015729657443082246
ACOX1,-0.047277238486486454
ACOX2,0.2878074678338118
ACOX3,0.4408928301471101
ACOXL,0.05538454907036234
ACP1,0.39223933895259305
ACP2,-0.002977716774333098
ACP5,0.06723029857897271
ACP6,0.07006579145957964
ACPP,-0.06139676008411644
ACR,0.24280513008415727
ACRBP,-0.00964963557336946
ACRV1,0.21991415550098686
ACSBG1,0.15776013327549152
ACSBG2,0.2820538902248246
ACSF2,0.42977767054181043
ACSF3,0.147408168221368
ACSL1,0.06262223806536749
ACSL3,0.30350811244630754
ACSL4,0.42050044686676175
ACSL5,0.15864625634607515
ACSL6,0.6458275728699652
ACSM1,0.14007485976207715
ACSM3,0.04359095454822941
ACSM4,0.0365523730897278
ACSM5,0.4454928717977047
ACSS1,-0.0013418834963804102
ACSS2,0.27556058458573696
ACSS3,0.13226327832184237
ACTA1,0.320531735178535
ACTA2,0.10824888401103547
ACTB,0.1913079798877758
ACTC1,0.679107567678972
ACTG1,0.5422359840032093
ACTG2,0.04546784905570253
ACTL6A,0.12893607339015073
ACTL6B,-0.024883784847770908
ACTL7A,-0.03721197745820768
ACTL7B,0.042484222891897114
ACTL8,0.08592565544928128
ACTN1,0.19677577247438024
ACTN2,0.4590679330674478
ACTN3,0.061236931220483064
ACTN4,0.4806704817096036
ACTR10,0.3232057197859607
ACTR1A,0.29954541315779404
ACTR1B,0.23655463336911034
ACTR2,-0.022431079870155957
ACTR3,0.18860421188934354
ACTR3B,0.3627367642344244
ACTR3BP2,0.011018721322913476
ACTR3C,0.19245824298849945
ACTR5,0.2645007691056089
ACTR6,0.11778944085508261
ACTR8,-0.02567694336898767
ACTRT1,0.016142563868866987
ACVR1,0.18793427252210337
ACVR1B,0.0007767591898300553
ACVR1C,0.6846418082583539
ACVR2A,0.5041158330856601
ACVR2B,0.29346678312102664
ACVRL1,0.15705362639764092
ACY3,0.3719557244097919
ACYP1,-0.042386213316255694
ACYP2,0.5009107591788307
ADA,0.042021680271457446
ADAD2,0.41868784824173894
